arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title,venue,evidence
2605.30219,2026-05-28,Contextual Belief Management (BeliefTrack),include,model-written predicted belief state,belief-state reward (RL),symbolic verification,yes (turn-level exact; failed stay/update/isolation),4;5;7,revision taxonomy + state-level training,3 failure modes; RL with belief-state rewards -71% failures; steering -46%,xu2026should,,Contextual Belief Management (BeliefTrack),arXiv,A
2605.05583,2026-05-07,Belief Memory (BeliefMem),include,external store with probabilities,none,Noisy-OR update,partial,3;4,representation: probabilistic memory,multiple candidate conclusions with probs; LoCoMo + ALFWorld,liao2026belief,,Belief Memory (BeliefMem),arXiv,A
2609.00455,2026-08-31,Belief-Based World Model,include,learned WM exposes belief to LLM,none (policy prompted),world-model belief,partial,3,representation: world-model belief,belief queryable by LLM; complementary to simulation WMs,kumar2026towards,,Belief-Based World Model,arXiv,A
2606.09032,2026-06-08,Text World Models (review),include,learned/prompted transition model,n/a,n/a,no,3,representation: world models,LLM-as-WM vs code-as-WM; experience synthesis/planning/verification,li2026bridging,,Text World Models (review),arXiv,A
2605.04507,2026-05-06,BOND (distilling Bayesian beliefs),include,model-written posterior tags,belief distillation (SFT from Bayesian teacher),teacher posterior,yes (Brier on posteriors),5,state-level training via distillation,8B student Brier 0.114 beats 70B baseline; CaSiNo negotiation,cui2026distilling,,BOND (distilling Bayesian beliefs),arXiv,A
2607.13618,2026-07-15,STOCKTAKE,include,evaluator-side exact Bayes filter oracle,n/a,n/a,yes (symptom detection lag; skill score; knowing-doing rate),4;7;8,belief-action gap benchmark,84-88% detection yet skill 0.62 to -0.23; 34-43% diagnosed weeks still stock out; same pattern as BSPO calibration gap,deb2026stocktake,,STOCKTAKE,arXiv,A
2605.06527,2026-05-07,STALE,include,external memory,n/a,implicit conflict,yes (state resolution; premise resistance; implicit policy adaptation),4;7,staleness benchmark,best model 55.2%; retrieval != acting on update,chao2026stale,,STALE,arXiv,A
2603.23848,2026-03-25,BeliefShift,include,n/a (user beliefs),n/a,evidence-driven revision,yes (BRA; DCS; CRR; ESI),4;7,revision benchmark (user-belief drift),personalisation vs factual grounding trade-off,myakala2026beliefshift,,BeliefShift,arXiv,A
2607.12893,2026-07-14,MemOps,include,external memory,n/a,lifecycle ops (remember/forget/update/reflect),yes (operation-level probes),4;7,revision ops benchmark,final-answer accuracy masks op-level failures,hao2026memops,,MemOps,arXiv,A
2606.06240,2026-06-04,TOKI,include,external memory,n/a,bitemporal operators (4 heuristics),partial,4,contradiction resolution,last-writer-wins / evidence-weighted / await-confirm / per-rule; audit rows,wang2026toki,,TOKI,arXiv,A
2603.14597,2026-03-15,D-MEM,include,external memory,n/a,reward prediction error gating,partial,4,surprise-gated memory write,surprise+utility -> RPE routes fast/slow path; LoCoMo-Noise,song2026d,,D-MEM,arXiv,A
2606.05885,2026-06-04,ECPO,include,n/a,step (anchor-state advantages),n/a,no,5,trajectory/step-level credit,evidence here = rollout count shrinkage not environment evidence; +5-7 pts over GiGPO,li2026denser,,ECPO,arXiv,A
2609.01245,2026-09-01,Explore More Drift Less,include,n/a,outcome only,n/a,no,5,counter-evidence,argues outcome-only RL can suffice for long-horizon agents,pu2026explore,,Explore More Drift Less,arXiv,A
2606.08348,2026-06-06,Bayesian-Agent,include,external posterior over skills,none,verified trajectories,partial,6,belief over tools/skills (routing),posterior over skill reliability; RealFin-Bench 45->65,wu2026bayesian,,Bayesian-Agent,arXiv,A
2605.07042,2026-05-07,Context Gathering Decision Process,include,POMDP over search state,n/a,n/a,partial,6,evidence acquisition as POMDP,agentic search framed as POMDP,kausik2026context,,Context Gathering Decision Process,arXiv,A
2608.01619,2026-08-03,When Memory Updates but Behavior Does Not,include,external memory,n/a,stale dependency repair,partial,4,staleness,implicit stale dependencies in personalised responses,sun2026memory,,When Memory Updates but Behavior Does Not,arXiv,A
2608.25553,2026-08-26,When Stale Constraints Go Unchecked,include,inherited memory,n/a,budgeted verification,partial,4,staleness,verification budget vs stale constraints,nakayashiki2026stale,,When Stale Constraints Go Unchecked,arXiv,A
2607.17038,2026-07-19,RLAW: POMDP routing + self-correcting critique,include,external memory,action/turn,critique score (logic/safety check),no,3;5,peripheral: graph-memory belief proxy with pre-execution critique,"Belief b_t is approximated by a Graph Memory M_t (semantic scene graph) updated by a GAT module from (o_t, a_{t-1}); a lightweight critique model scores proposed actions (logic/safety/critique_score) before execution. Claims +24.5% absolute success over ReAct on ALFWorld/WebShop; no belief-quality metric reported.",ali2026reward,Amez Amanj Ali,Reward-Driven LLM Agent Workflows: Synthesizing POMDP Routing and Self-Correction for Autonomous Decision-Making,arXiv,A
2606.29406,2026-06-28,Governance-aware POMDP for AI delegation,include,external Bayesian filter,n/a,Bayesian update on evidence quality,"partial (forecast-accuracy validation, confidence-perturbation robustness)",6;8,peripheral: belief maintained outside the LLM to decide how much authority to delegate,"Formulates delegation of decision authority to LLM recommendations as a POMDP; Bayesian inference over an informational state, LLM confidence treated as noisy evidence; benchmarked against five heuristic governance strategies under identical beliefs. Numbers are on synthetic stress tests; no headline number in abstract.",dixon2026adaptive,Matthew Francis Dixon,Adaptive AI Delegation under Uncertainty: A Bayesian Governance Policy for Sequential Decision Authority,arXiv,A
2606.22030,2026-06-20,Nous: when belief-based memory helps,include,probabilistic memory,belief state,surprise (information-theoretic) + reliability-conditioned + provenance-capped update,yes (belief updating vs last-write-wins on contradiction benchmark; poisoning resistance; token-F1 vs LLM-judge gap),3;4;7,core: probabilistic memory with explicit revision signal and negative result on standard benchmarks,Each entity-attribute pair is a categorical distribution updated by closed-form Bayes; surprise drives revision and entropy drives forgetting. On LoCoMo Bayesian updating barely beats last-write-wins; gains appear only under contradictory/differently-reliable evidence; provenance-capped trust resists volumetric poisoning; 27.5-point discrepancy between token-F1 and LLM-judge scoring.,singh2026when,Pranav Singh,When Does Belief-Based Agent Memory Help? Reliability-Conditional Updating and Provenance-Capped Poisoning Defense,arXiv,A
2602.16165,2026-02-18,HiPER: hierarchical RL with explicit credit assignment,include,context (free-form trace),step/trajectory,none (reward-based),no,5,core: subgoal-level credit assignment (hierarchical advantage estimation),"Factorizes policy into planner (subgoals) and executor; hierarchical advantage estimation aggregates returns per subgoal, giving an unbiased lower-variance gradient than flat GAE. 97.4% ALFWorld and 83.3% WebShop with Qwen2.5-7B-Instruct (+6.6/+8.3 over prior best).",peng2026hiper,Jiangweizhi Peng,HiPER: Hierarchical Reinforcement Learning with Explicit Credit Assignment for Large Language Model Agents,arXiv,A
2605.24216,2026-05-22,Agent-ToM: learning to monitor agents via ToM,include,evaluator-side oracle,step/trajectory,deviation from task-consistent expected actions,partial (calibrated-confidence intent hypotheses; monitor precision/recall),7,peripheral: monitor infers the agent's beliefs/intent from trajectories; guardrail memory distilled across episodes,"Monitor infers beliefs, intent hypotheses with calibrated confidence and expected actions from full trajectories (Reason-Verify-Refine), and distills critiques into a persistent semantic guardrail memory. Outperforms ensemble monitors on SHADE-Arena and CUA-SHADE-Arena; no numbers in abstract.",ahmed2026agenttom,Nesreen K. Ahmed,Agent-ToM: Learning to Monitor Autonomous LLM Agents via Theory-of-Mind Reasoning,arXiv,A
2602.20659,2026-02-24,RB-VLA: recursive belief VLA,include,learned world model,belief state,self-supervised world-model objective (action-conditioned latent),partial (ablation of belief module),3,peripheral: latent belief state for VLA robots rather than LLM decision agents; useful contrast to context-as-belief,Compact latent belief recursively updated with action-conditioned world-model losses; VLM queried once per task for intent; belief + intent condition a diffusion policy. Ablation: 32.5% success without belief vs 77.5% with; up to 5x lower latency and constant memory vs pi_0.,bagaria2026recursive,Vaidehi Bagaria,Recursive Belief Vision Language Action Models,arXiv,A
2609.01861,2026-09-01,BCO: belief-calibrated scaffold optimization,include,model-written,belief state,evaluation of new candidate scaffolds (score/trace feedback),yes (predictive accuracy of the world-model document on environment response; falsified-content control),3;5;8,core: explicit written belief/world-model document revised each optimization round,"The coding-agent optimizer writes its belief about how the environment responds to edits as a persistent in-context document and revises it after each candidate evaluation. Higher train passrate than a matched control on five benchmarks, gap holds on held-out splits; a fresh predictor given the document forecasts environment response better than with no document or a falsified copy.",chen2026beliefcalibrated,Yuhan Chen,Belief-Calibrated Optimization: An Explicit World Model for Agentic Optimization,arXiv,A
2604.08401,2026-04-09,SAVeR: self-audited verified reasoning,include,context (free-form trace),belief state,adversarial audit locating logical/evidential violations,partial (reasoning faithfulness metrics),4,core: failure mode of unsupported beliefs propagating into memory; verify-before-commit repair,"Generates persona-diverse candidate beliefs, adversarially audits them for logical/evidential violations, and repairs via constraint-guided minimal interventions before action commitment. Improves faithfulness on six benchmarks while keeping end-task performance; no headline number in abstract.",yuan2026verify,Wenhao Yuan,Verify Before You Commit: Towards Faithful Reasoning in LLM Agents via Self-Auditing,arXiv,A
2605.23972,2026-05-13,Why world models: LLM state-tracking failures (Flux),include,context (free-form trace),n/a,none,partial (qualitative state-tracking error analysis),4;8,supporting: evidence that pure text-context agents fail at persistent state tracking,"Flux environment with natural-language rules compiled to an explicit state simulator; RL agents with latent-state access win ~79% vs ~11% for LLMs on text observations. Failure modes: invalid actions, state-tracking errors, short-horizon reasoning.",alaswad2026why,Feisal Alaswad,Why We Need World Models for AGI: Where LLMs Fail and How World Models May Outperform,arXiv,A
2604.18401,2026-04-20,CAPO: critic-guided action-aligned PO,include,context (free-form trace),action/turn,none (critic value at action boundary),no,5,core: action-level (not token-level) credit via critic,"Critic estimates state value at action boundaries and assigns the advantage to the whole action; action-aware policy ratio aggregates token ratios with length calibration. Outperforms PPO/GRPO-style baselines on multi-hop QA, paper search and text-world tasks; no headline number in abstract.",wang2026capo,Daoyu Wang,CAPO: Critic-Guided Action-Aligned Policy Optimization for Advancing LLM Agent Capabilities,arXiv,A
2606.30335,2026-06-29,BayesEvolve: explicit belief for discovery,include,external Bayesian filter,belief state,posterior refit after each evaluated candidate,"yes (Spearman 0.774 on ~61k held-out predictions; 1-sigma coverage 43.3%, 2-sigma 65.3%)",3;6;7,"core: belief-guided evidence acquisition with annealed uncertainty bonus, contrasted with archive/memory-guided LLM baselines",GP posterior over hypothesis quality replaces experimental-memory archives; selection uses -mu + beta_t sigma with beta_t annealed. Better sample efficiency than memory/archive-guided LLM baselines on shifted BBOB tasks; belief is predictive but imperfectly calibrated.,wu2026bayesevolve,Xuening Wu,BayesEvolve: Explicit Belief States for Autonomous Scientific Discovery,arXiv,A
2608.01189,2026-08-02,MADE: belief-driven dual-agent deployment,include,external memory,action/turn,execution failure -> root-cause invalidation set,no,3;4,supporting: discrete per-artifact belief (absent/present/invalidated) with non-monotonic revision gate,"Phase Manager holds a belief state per artifact in {absent, present, invalidated}; downstream failures add root-cause artifacts to an invalidation set and an Intervene gate blocks operations that conflict with the belief. 68.85% deployment success on M2ABench (122 models), vs 27.87% without dual-agent coordination.",liu2026made,Yicheng Liu,MADE: Belief-Driven Dual-Agent Coordination for Autonomous Model Deployment,arXiv,A
2607.28942,2026-07-31,NeSyFS: neuro-symbolic fast-slow under partial observability,include,external memory,action/turn,repeated fast-action failure triggers slow (TSMC) planning,no,3;6,core: KG belief state + uncertainty-aware planning; reflection switches modes,"Belief state represented as a knowledge graph of triplets fed to all modules; fast module acts reactively, slow module plans via twisted sequential Monte Carlo; reflection module switches to slow thinking when reactive actions repeatedly fail. Gains on ALFWorld, WebShop, ScienceWorld; no numbers in abstract.",xu2026nesyfs,Duo Xu,NeSyFS: A Neuro-symbolic Fast-Slow Thinking Framework for LLM Agent under Partial Observability,arXiv,A
2608.24588,2026-08-25,IAPO: influence-aware credit for service agents,include,context (free-form trace),action/turn,none (influence-dependency graph from rollout),no,5,core: redistributes trajectory advantage across actions via evidence support/failed-use structure,"Represents a rollout as a typed influence-dependency graph over agent actions with user/tool observations as evidence; support-use and failed-use edges become routing weights redistributing the trajectory-level advantage. Beats multi-turn RL baselines on tau2-Bench, UserBench, AgentChangeBench with Qwen3-4B/8B; no headline number in abstract.",ren2026iapo,Bo Ren,IAPO: Influence-Aware Policy Optimization for Credit Assignment in Multi-Turn Service Agents,arXiv,A
2608.08621,2026-08-09,Business Arena marketplace benchmark,include,n/a,action/turn,none,no,7,supporting: long-horizon benchmark with action-level gain/loss attribution under partial signals and delayed outcomes,"Agent runs a cross-border shop grounded in Alibaba.com data; profit is the outcome, with skill-level metrics and action-level attribution tracing gains/losses to sourcing, pricing and recovery decisions. 15 frontier models show a ninefold spread in mean final net worth; best model still below human-designed strategies.",pan2026business,Yijun Pan,Business Arena: Benchmarking LLM Agents in a Realistic Marketplace,arXiv,A
2608.12476,2026-08-12,GPM: governed persistent memory,include,external memory,n/a,"symbolic check (source binding, retraction/deletion, conflict isolation, fail-closed release)",partial (release correctness on GPM-ReleaseBench),3;4;7,supporting: contract-level semantics for superseded/retracted/stale memory records,"Bitemporal state-transition memory with source-bound admission, derived lifecycle state and fail-closed release governed by five executable clauses. Governed lane 2400/2400 clusters correct vs 600/2400 for ungoverned Qwen2.5-7B; results are contract/implementation-level, not world-truth accuracy.",xu2026governed,Guodong Xu,Governed Persistent Memory: Source-Bound State Semantics and Fail-Closed Release for Long-Horizon Agents,arXiv,A
2605.12718,2026-05-12,CHAL: council of hierarchical agentic language,include,model-written,belief state,gradient-informed revision on thesis strength under debate,partial (belief trajectories in latent belief space; ablations),3;4,peripheral: graph-structured belief schema revised through defeasible multi-agent debate,Each agent keeps a graph-structured CHAL Belief Schema with Bayesian-inspired revision driven by the strength of the belief's thesis as a differentiable objective; notes that debate on ground-truth tasks yields martingale belief trajectories and confidence escalation. Ablations only; no headline number.,giovannelli2026chal,Tommaso Giovannelli,CHAL: Council of Hierarchical Agentic Language,arXiv,A
2603.06194,2026-03-06,MICA: intertemporal credit for emotional support,include,external memory,action/turn,none (potential over structured user state),no,5,supporting: per-turn credit from potential function over a tracked user state,Shared potential over the user's structured support state yields an Incremental Distance Reward (per-turn decrease in residual distance to target) plus its Monte Carlo return; normalized and mixed into one advantage with no critic or rollout tree. Up to +42.5 on EMPA over GRPO/REINFORCE++ across Qwen2.5-7B and Qwen3-8B/14B/32B.,zhang2026mica,Naifan Zhang,MICA: Multi-granularity Intertemporal Credit Assignment for Long-Horizon Emotional Support Dialogue,arXiv,A
2603.18079,2026-03-18,SLEA-RL: step-level experience augmentation,include,external memory,step/trajectory,observation change triggers step-level re-retrieval,no,5;6,supporting: per-step experience retrieval conditioned on current observation; step-level advantages,"Clusters step-level observations for cluster-indexed retrieval, keeps a self-evolving experience library (score-based admission, rate-limited extraction) and trains with step-level credit assignment; library updates by semantic analysis not gradients. Outperforms RL baselines on long-horizon multi-turn benchmarks; no numbers in abstract.",wang2026slearl,Prince Zizhuang Wang,SLEA-RL: Step-Level Experience Augmented Reinforcement Learning for Multi-Turn Agentic Training,arXiv,A
2609.02265,2026-09-02,CAPTURE: preference drift vs memory poisoning,include,learned world model,belief state,uncertainty-triggered clarification + counterfactual audit of cited memories,"yes (poisoning success 11.5%, genuine-update acceptance 83.5%, adaptive attack 24.7%)",3;4;6;7,core: continuous-time POMDP belief tracker over latent user state distinguishing drift from poisoning,"Neural-ODE belief tracker over a latent user state, multi-timescale memory ledger, clarification triggered by uncertainty and counterfactual auditing of cited memories. 71.5% win rate vs 69.3% supervised baseline on 480 episodes; limits poisoning to 11.5% while accepting 83.5% of genuine updates; adaptive attacker raises success to 24.7%.",hossain2026capture,S M Asif Hossain,CAPTURE: Disentangling Preference Drift from Memory Poisoning in Personalized LLM Agents,arXiv,A
2605.13740,2026-05-13,Pinductor: LLM-prior POMDP world models,include,learned world model,belief state,belief-based likelihood score of candidate POMDP,partial (belief-based likelihood; sample efficiency),3;8,core: LLM proposes and refines explicit POMDP models scored by belief likelihood,LLM proposes candidate POMDP models from a few observation-action trajectories and iteratively refines them to maximize a belief-based likelihood. Matches methods with privileged hidden-state access and surpasses tabular POMDP baselines in sample efficiency; scales with LLM capability.,six2026learning,Valentin Six,Learning POMDP World Models from Observations with Language-Model Priors,arXiv,A
2603.14646,2026-03-15,DToM-Track: dynamic ToM as temporal memory,include,context (free-form trace),n/a,none,"yes (prior-belief recall, current-belief inference, belief-change detection)",4;7,core: evaluation of belief-trajectory tracking; recency/interference failure mode,"DToM-Track tests recall of pre-update beliefs, inference of current beliefs and detection of belief change in multi-turn conversations. Consistent asymmetry across families and scales: models infer current belief reliably but fail to retain prior belief states after updates.",nguyen2026dynamic,Thuy Ngoc Nguyen,Dynamic Theory of Mind as a Temporal Memory Problem: Evidence from Large Language Models,arXiv,A
2603.13256,2026-02-24,REDEREF: training-free probabilistic multi-agent control,include,probabilistic memory,action/turn,judge feedback updates Thompson-sampling posteriors,no,6,supporting: belief-guided routing/delegation with memory-aware priors,"Thompson sampling over per-agent marginal-contribution posteriors selects delegates; a calibrated LLM/programmatic judge drives re-routing; memory-aware priors reduce cold start. Cuts tokens 28%, agent calls 17%, time-to-success 19% vs random recursive delegation on split-knowledge tasks.",hosseini2026trainingfree,Mohammad Parsa Hosseini,Training-Free Agentic AI: Probabilistic Control and Coordination in Multi-Agent LLM Systems,arXiv,A
2604.02869,2026-04-03,MT-GRPO Iterative Reward Calibration,include,context (free-form trace),action/turn,none (per-turn reward calibrated from rollout discriminativeness),no,5;7,turn-level credit assignment for tool-calling agents; cautionary result on dense per-turn rewards,"MT-GRPO + GTPO hybrid advantage on Tau-Bench airline with an LLM user simulator; naive dense per-turn rewards degrade performance by up to 14pp, calibrated rewards lift Qwen3-30B-A3B from 58.0% to 69.5%.",modecrua2026multiturn,Wachiravit Modecrua,Multi-Turn Reinforcement Learning for Tool-Calling Agents with Iterative Reward Calibration,arXiv,A
2606.10507,2026-06-09,HIPIF,include,model-written,step/trajectory,subgoal completion (history folding) + hierarchical reflection,no,3;4;5,model-written compressed state via subgoal folding; process rewards tied to subgoal transitions,Trains agent end-to-end to plan explicit subgoals and fold completed subgoal histories to cut long-context interference; subgoal-oriented process rewards and hierarchical reflection without auxiliary models. Numbers not given in abstract.,diao2026hipif,Juncheng Diao,HIPIF: Hierarchical Planning and Information Folding for Long-Horizon LLM Agent Learning,arXiv,A
2606.22995,2026-06-22,G2PO,include,context (free-form trace),step/trajectory,globally standardized TD error over state-transition graph,no,5,graph-structured step-level credit assignment; state identity via observation aggregation,"Merges identical observations across rollouts into a state-transition graph, estimates group-aggregated state values and edge-centric advantages; up to 22.2% success gain over GRPO on WebShop/ALFWorld/AppWorld.",wang2026groupgraph,Yunan Wang,Group-Graph Policy Optimization for Long-Horizon Agentic Reinforcement Learning,arXiv,A
2605.07058,2026-05-08,MedExAgent,include,context (free-form trace),output,none (composite outcome reward: accuracy + tool quality + exam cost),no,6;7,POMDP-framed evidence acquisition (ask vs. examine vs. diagnose) under explicit noise model,Formalizes diagnosis as a POMDP with question/exam/diagnose actions and seven patient + three exam noise types; SFT on Calgary-Cambridge dialogues then DAPO on a cost-aware composite reward. Headline: comparable accuracy to larger models at lower exam cost.,gao2026medexagent,Yicheng Gao,"MedExAgent: Training LLM Agents to Ask, Examine, and Diagnose in Noisy Clinical Environments",arXiv,A
2604.22820,2026-04-17,Cyclic subtask graphs,include,model-written,n/a,state-analysis-and-routing agent applies natural-language transition criteria,no,4;6,workflow-level revisitation as recovery under partial observability; cost of backtracking,Fully connected subtask graph with an LLM state-analysis/routing agent vs. DepDAG and ReAct on TextCraft/ALFWorld/Finance-Agent; revisitation helps in ALFWorld (recovery setting) but adds overhead in prerequisite-chain tasks. Includes fault-injection and token-cost accounting.,gharzeddine2026complete,Luay Gharzeddine,"Complete Cyclic Subtask Graphs for Tool-Using LLM Agents: Flexibility, Cost, and Bottlenecks in Long-Horizon Workflows",arXiv,A
2601.12538,2026-01-18,Agentic Reasoning survey,include,n/a,n/a,n/a,no,1,neighbouring survey to position against (memory/feedback/world modeling as open problems),"Survey organizing agentic reasoning into foundational, self-evolving, and multi-agent layers and in-context vs. post-training; lists world modeling and long-horizon interaction as open directions but does not treat belief state as a first-class object.",wei2026agentic,Tianxin Wei,Agentic Reasoning for Large Language Models,arXiv,A
2605.21768,2026-05-20,Memory-R2 / LoGo-GRPO,include,external memory,belief state,local rerollouts from shared intermediate memory state,partial (memory-operation outcomes compared via local rerollouts),3;5,credit assignment to memory-write operations; memory as part of the environment,LoGo-GRPO combines global trajectory-level GRPO with local rerollouts that branch from the same intermediate memory state so memory add/update/delete decisions get fair group comparisons; fact extractor and memory manager share one backbone; curriculum 8 to 16 to 32 sessions.,yan2026memoryr2,Sikuan Yan,Memory-R2: Fair Credit Assignment for Long-Horizon Memory-Augmented LLM Agents,arXiv,A
2606.07367,2026-06-05,Q-Evolve,include,context (free-form trace),step/trajectory,advantage from in-distribution IQL critic,no,5,learned value function as process-reward labeler (no backtracking),"Iteratively fits a weighted Implicit Q-Learning critic on expert + self-generated trajectories, derives step-wise process rewards from advantages, then does behavior-proximal policy optimization; evaluated on ALFWorld/WebShop/ScienceWorld. Numbers not given in abstract.",zhang2026selfevolving,Yudi Zhang,Self-evolving LLM agents with in-distribution Optimization,arXiv,A
2604.01212,2026-04-01,YC-Bench,include,model-written,n/a,scratchpad persistence across context truncation,partial (scratchpad usage as predictor of success; adversarial-client detection failure rate),4;7,long-horizon POMDP benchmark where explicit state persistence predicts success,Year-long simulated startup over hundreds of turns; scratchpad usage is the strongest predictor of success and failure to detect adversarial clients causes 47% of bankruptcies; Claude Opus 4.6 best at $1.27M final funds.,he2026ycbench,Muyu He,YC-Bench: Benchmarking AI Agents for Long-Term Planning and Consistent Execution,arXiv,A
2606.06673,2026-06-04,ULPS,exclude(BERT policy-shaping for MiniGrid PPO; not an LLM decision agent with state maintenance),n/a,n/a,n/a,n/a,n/a,n/a,Uncertainty-weighted action suggestions from a fine-tuned BERT via MC dropout blended into PPO on MiniGrid.,bhatta2026uncertaintyaware,Ujjwal Bhatta,Uncertainty-Aware LLM-Guided Policy Shaping for Sparse-Reward Reinforcement Learning,arXiv,A
2606.01886,2026-06-01,InKH financial harness,include,external memory,n/a,passive knowledge injection from user/market/portfolio/tool events; temporal graph memory,partial (stale-knowledge usage rate),3;6,finance-domain structured state maintenance via temporal graph memory,Interaction-native knowledge harness converts events into structured operational knowledge with temporal graph memory and wiki audit surfaces; on a synthetic benchmark reports task quality 0.815 at 900 ms and 96.58% reduction in stale-knowledge usage vs. baselines.,borjigin2026absorbing,Ailiya Borjigin,Absorbing Complexity: An Interaction-Native Knowledge Harness for Financial LLM Agents,arXiv,A
2603.21250,2026-03-22,Graph of States,include,external memory,n/a,symbolic check (causal graph constraints + state machine transitions),no,3;4,structured belief state for abductive reasoning; explicit failure taxonomy,"Neuro-symbolic framework grounding multi-agent LLM reasoning in a structured belief state with a causal graph and state machine; targets Evidence Fabrication, Context Drift, Failed Backtracking, Early Stopping. Numbers not given in abstract.",luo2026graph,Yu Luo,Graph of States: Solving Abductive Tasks with Large Language Models,arXiv,A
2607.27512,2026-07-29,CoevolveSim belief diffusion,exclude(multi-agent opinion dynamics among LLMs; not decision-agent state maintenance or credit assignment),n/a,n/a,n/a,n/a,n/a,n/a,"1,280 simulations of belief diffusion over LLM networks; specialist LLMs more than double consensus shift.",savcisens2026belief,Germans Savcisens,Belief Coevolution in a Social Network of Generalist and Specialist Large Language Models,arXiv,A
2606.27806,2026-06-26,Hybrid-WM,include,learned world model,belief state,consistency gate: disagreement between imagined state delta and parametric transition prediction,yes (hallucinated-state rate; propagation depth; long-horizon error growth),3;4;7,core: parametric world model as external check on model-written state; defines belief-level error metrics,LLM planner keeps writing imagined state deltas but a small parametric transition model predicts validity/delta/risk/value and a consistency gate triggers revision only on disagreement; hallucinated-state rate falls 0.176 to 0.035 (GPT-4o-mini) and success 0.668 to 0.838 in simulator ablations.,song2026agent,Xinyuan Song,Agent vs. Parametric World Models: Hybrid Planning for Reliable Language Agents,arXiv,A
2606.27483,2026-06-25,Internalizing the Future,include,model-written,step/trajectory,foresight-conditioned RL calibrating plan-conditioned success estimates,partial (calibration of textual Q-value / foresight),3;5,internal world-model prediction inside the policy; format-capability gap,"Single autoregressive model articulates prospective state simulations plus a textual Q-value; three-stage pipeline (world-model mid-training, format-eliciting SFT, foresight-conditioned RL) on search and math tasks. Numbers not given in abstract.",zhang2026internalizing,Xuan Zhang,Internalizing the Future: A Unified Agentic Training Paradigm for World Model Planning,arXiv,A
