arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title,venue,evidence
2310.04406,2023-10-06,LATS,include,external memory,step/trajectory,MCTS backup of LM-valued rewards + self-reflections stored in memory,partial (LM value estimates per node),4;6,revision: tree search with reflection as state repair; evidence acquisition via environment feedback,Combines MCTS with LM value functions and self-reflection over environment feedback; 92.7% pass@1 HumanEval (GPT-4) and 75.9 avg on WebShop.,zhou2023language,Zhou,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,ICML 2024,P
2406.04151,2024-06-06,AgentGym,include,context (free-form trace),step/trajectory,AgentEvol: iterative exploration + SFT on self-collected trajectories,no,5;7,learning-signal and evaluation infrastructure: multi-environment self-evolution without belief supervision,"Framework of diverse uni-format environments plus AgentEvol self-evolution (explore, filter, imitate); evolved agents reported comparable to SOTA models on the AgentEval suite.",xi2024agentgym,Xi,AgentGym: Evolving Large Language Model-based Agents across Diverse Environments,arXiv,A
2402.19446,2024-02-29,ArCHer,include,n/a,action/turn,hierarchical RL: utterance-level off-policy value + token-level policy,no,5,learning signal: turn-level credit assignment for multi-turn agents (action/turn credited object),"Two-level RL where a high-level TD critic aggregates utterance rewards and a low-level policy trains tokens within a turn; ~100x sample-efficiency gain over prior methods, scales to 7B.",zhou2024archer,Zhou,ArCHer: Training Language Model Agents via Hierarchical Multi-Turn RL,ICML 2024,P
2408.07199,2024-08-13,Agent Q,include,external memory,step/trajectory,MCTS with AI self-critique feedback + off-policy DPO on branch preferences,partial (self-critique scores; no calibration),4;5;6,revision + learning signal: search-derived preferences over trajectories,"MCTS-guided exploration with self-critique and DPO fine-tuning; on real-world booking tasks Llama-3 70B goes from 18.6% to 81.7% success (340% relative) after one day of collection, 95.4% with online search.",putta2024agent,Putta,Agent Q: Advanced Reasoning and Learning for Autonomous AI Agents,arXiv,A
2311.13743,2023-11-23,FinMem,include,external memory,action/turn,layered memory with recency/relevancy/importance decay + reflection,no,3;4,finance representation: layered textual memory as belief proxy; reflection as revision,"LLM trading agent with profiling, layered (short/mid/long) memory and reflective decision-making; reported to outperform algorithmic trading baselines on real stock data and to improve with tuned perceptual span.",yu2023finmem,Yu,FinMem: A Performance-Enhanced LLM Trading Agent with Layered Memory and Character Design,AAAI Spring Symposium 2024,P
2402.18485,2024-02-28,FinAgent,include,external memory,action/turn,low-level and high-level reflection over price/news/chart feedback,no,3;4;6,finance: multimodal evidence acquisition plus dual reflection as belief update,"Multimodal trading agent with market intelligence, tool-augmented expert strategies and low/high-level reflection; >36% average profit improvement over nine baselines and 92.27% return (84.39% relative gain) on one dataset across six datasets.",zhang2024multimodal,Zhang,"A Multimodal Foundation Agent for Financial Trading: Tool-Augmented, Diversified, and Generalist",KDD 2024,P
2407.06567,2024-07-09,FinCon,include,external memory,belief state,episodic self-critique producing conceptual verbal reinforcement (investment beliefs),no,3;4;5,finance: explicit textual 'investment beliefs' updated by verbal RL; closest finance analogue to belief revision,"Manager-analyst multi-agent system that episodically self-critiques to update systematic investment beliefs, propagated as verbal reinforcement; evaluated on stock trading and portfolio management.",yu2024fincon,Yu,FinCon: A Synthesized LLM Multi-Agent System with Conceptual Verbal Reinforcement for Enhanced Financial Decision Making,NeurIPS 2024,P
2309.03736,2023-09-07,TradingGPT,include,external memory,action/turn,layered memory decay + inter-agent debate,no,3;4,finance: early layered-memory multi-agent trading; debate as revision mechanism,"Multi-agent LLM trading framework with three-layer memory and custom decay, inter-agent debate and distinct trader characters; no quantitative headline numbers in abstract.",li2023tradinggpt,Li,TradingGPT: Multi-Agent System with Layered Memory and Distinct Characters for Enhanced Financial Trading Performance,arXiv,A
2502.12110,2025-02-17,A-Mem,include,external memory,output,memory evolution: new notes trigger updates to linked prior memories,no,3;4,representation: self-organising Zettelkasten memory where insertion revises existing memories,Agentic memory that writes structured notes with keywords/tags/links and updates prior memory representations when new memories are added; outperforms baselines across six foundation models.,xu2025mem,Xu,A-MEM: Agentic Memory for LLM Agents,NeurIPS 2025,P
2402.17753,2024-02-27,LoCoMo,include,evaluator-side oracle,output,n/a (benchmark; QA/event summarization over long dialogue),partial (temporal-reasoning QA accuracy; no calibration),7,evaluation: very-long-term memory benchmark with persona/temporal event graph ground truth,"Dataset of conversations up to 35 sessions (~300 turns, ~9K tokens) with QA, event summarization and multimodal tasks; LLMs lag humans on long-range temporal reasoning, long-context and RAG help modestly.",maharana2024evaluating,Maharana,Evaluating Very Long-Term Conversational Memory of LLM Agents,ACL 2024,P
2410.08328,2024-10-10,Talker-Reasoner,include,model-written,belief state,Reasoner (System 2) writes/updates user-model belief state consumed by Talker,no,2;3;8,formulation: explicit dual-process split with a written belief state shared between agents,"Talker (fast, conversational) and Reasoner (slow, planning/tool-use) agents share an explicit belief state maintained by the Reasoner; demonstrated on a sleep-coaching assistant, no headline numbers.",christakopoulou2024agents,Christakopoulou,Agents Thinking Fast and Slow: A Talker-Reasoner Architecture,arXiv,A
10.18653/v1/2024.emnlp-main.1193,2024-11,QuBE,include,model-written,belief state,question-answering over observations to construct/refresh a belief state,no,3;4,representation + revision: belief state built by self-questioning to counter reasoning derailment under partial observability,Constructs a belief state via question answering to filter task-relevant context in partially observable settings; substantial gains over baselines on AlfWorld and marked improvements on BeIR zero-shot retrieval.,kim2024qube,Kim,QuBE: Question-based Belief Enhancement for Agentic LLM Reasoning,EMNLP 2024,P
2310.01557,2023-10-02,SmartPlay,include,evaluator-side oracle,output,n/a (benchmark; game environments),no,7,evaluation: multi-game agent benchmark isolating capabilities incl. learning from interaction,"Six games (Rock-Paper-Scissors, Tower of Hanoi, Minecraft, etc.) with up to 20 settings testing nine capabilities such as planning, spatial reasoning and learning from interaction history.",wu2023smartplay,Wu,SmartPlay: A Benchmark for LLMs as Intelligent Agents,ICLR 2024,P
2206.10498,2022-06-21,PlanBench,include,evaluator-side oracle,output,n/a (benchmark; IPC planning domains),no,7;8,evaluation: reasoning-about-change benchmark exposing LLM planning limits,"IPC-derived planning domains testing plan generation, verification, replanning and reasoning about change; SOTA LLMs fall well short on plan generation.",valmeekam2022planbench,Valmeekam,PlanBench: An Extensible Benchmark for Evaluating Large Language Models on Planning and Reasoning about Change,NeurIPS 2023 Datasets and Benchmarks,P
2212.01681,2022-12-03,LMs as Agent Models,include,n/a,n/a,n/a (position paper),no,2,formulation: LMs infer and represent beliefs/goals of the agent that produced the context,"Position paper arguing next-word prediction lets LMs infer properties (beliefs, intentions, goals) of the agent generating text, motivating agent-model framing; no experiments.",andreas2022language,Andreas,Language Models as Agent Models,EMNLP 2022 Findings,P
