arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title
2606.30335,2026-06-29,BayesEvolve: explicit belief for discovery,include,external Bayesian filter,belief state,posterior refit after each evaluated candidate,"yes (Spearman 0.774 on ~61k held-out predictions; 1-sigma coverage 43.3%, 2-sigma 65.3%)",3;6;7,"core: belief-guided evidence acquisition with annealed uncertainty bonus, contrasted with archive/memory-guided LLM baselines",GP posterior over hypothesis quality replaces experimental-memory archives; selection uses -mu + beta_t sigma with beta_t annealed. Better sample efficiency than memory/archive-guided LLM baselines on shifted BBOB tasks; belief is predictive but imperfectly calibrated.,wu2026bayesevolve,Xuening Wu,BayesEvolve: Explicit Belief States for Autonomous Scientific Discovery
2608.01189,2026-08-02,MADE: belief-driven dual-agent deployment,include,external memory,action/turn,execution failure -> root-cause invalidation set,no,3;4,supporting: discrete per-artifact belief (absent/present/invalidated) with non-monotonic revision gate,"Phase Manager holds a belief state per artifact in {absent, present, invalidated}; downstream failures add root-cause artifacts to an invalidation set and an Intervene gate blocks operations that conflict with the belief. 68.85% deployment success on M2ABench (122 models), vs 27.87% without dual-agent coordination.",liu2026made,Yicheng Liu,MADE: Belief-Driven Dual-Agent Coordination for Autonomous Model Deployment
2607.28942,2026-07-31,NeSyFS: neuro-symbolic fast-slow under partial observability,include,external memory,action/turn,repeated fast-action failure triggers slow (TSMC) planning,no,3;6,core: KG belief state + uncertainty-aware planning; reflection switches modes,"Belief state represented as a knowledge graph of triplets fed to all modules; fast module acts reactively, slow module plans via twisted sequential Monte Carlo; reflection module switches to slow thinking when reactive actions repeatedly fail. Gains on ALFWorld, WebShop, ScienceWorld; no numbers in abstract.",xu2026nesyfs,Duo Xu,NeSyFS: A Neuro-symbolic Fast-Slow Thinking Framework for LLM Agent under Partial Observability
2608.24588,2026-08-25,IAPO: influence-aware credit for service agents,include,context (free-form trace),action/turn,none (influence-dependency graph from rollout),no,5,core: redistributes trajectory advantage across actions via evidence support/failed-use structure,"Represents a rollout as a typed influence-dependency graph over agent actions with user/tool observations as evidence; support-use and failed-use edges become routing weights redistributing the trajectory-level advantage. Beats multi-turn RL baselines on tau2-Bench, UserBench, AgentChangeBench with Qwen3-4B/8B; no headline number in abstract.",ren2026iapo,Bo Ren,IAPO: Influence-Aware Policy Optimization for Credit Assignment in Multi-Turn Service Agents
2608.08621,2026-08-09,Business Arena marketplace benchmark,include,n/a,action/turn,none,no,7,supporting: long-horizon benchmark with action-level gain/loss attribution under partial signals and delayed outcomes,"Agent runs a cross-border shop grounded in Alibaba.com data; profit is the outcome, with skill-level metrics and action-level attribution tracing gains/losses to sourcing, pricing and recovery decisions. 15 frontier models show a ninefold spread in mean final net worth; best model still below human-designed strategies.",pan2026business,Yijun Pan,Business Arena: Benchmarking LLM Agents in a Realistic Marketplace
2608.12476,2026-08-12,GPM: governed persistent memory,include,external memory,n/a,"symbolic check (source binding, retraction/deletion, conflict isolation, fail-closed release)",partial (release correctness on GPM-ReleaseBench),3;4;7,supporting: contract-level semantics for superseded/retracted/stale memory records,"Bitemporal state-transition memory with source-bound admission, derived lifecycle state and fail-closed release governed by five executable clauses. Governed lane 2400/2400 clusters correct vs 600/2400 for ungoverned Qwen2.5-7B; results are contract/implementation-level, not world-truth accuracy.",xu2026governed,Guodong Xu,Governed Persistent Memory: Source-Bound State Semantics and Fail-Closed Release for Long-Horizon Agents
2605.12718,2026-05-12,CHAL: council of hierarchical agentic language,include,model-written,belief state,gradient-informed revision on thesis strength under debate,partial (belief trajectories in latent belief space; ablations),3;4,peripheral: graph-structured belief schema revised through defeasible multi-agent debate,Each agent keeps a graph-structured CHAL Belief Schema with Bayesian-inspired revision driven by the strength of the belief's thesis as a differentiable objective; notes that debate on ground-truth tasks yields martingale belief trajectories and confidence escalation. Ablations only; no headline number.,giovannelli2026chal,Tommaso Giovannelli,CHAL: Council of Hierarchical Agentic Language
2603.06194,2026-03-06,MICA: intertemporal credit for emotional support,include,external memory,action/turn,none (potential over structured user state),no,5,supporting: per-turn credit from potential function over a tracked user state,Shared potential over the user's structured support state yields an Incremental Distance Reward (per-turn decrease in residual distance to target) plus its Monte Carlo return; normalized and mixed into one advantage with no critic or rollout tree. Up to +42.5 on EMPA over GRPO/REINFORCE++ across Qwen2.5-7B and Qwen3-8B/14B/32B.,zhang2026mica,Naifan Zhang,MICA: Multi-granularity Intertemporal Credit Assignment for Long-Horizon Emotional Support Dialogue
2603.18079,2026-03-18,SLEA-RL: step-level experience augmentation,include,external memory,step/trajectory,observation change triggers step-level re-retrieval,no,5;6,supporting: per-step experience retrieval conditioned on current observation; step-level advantages,"Clusters step-level observations for cluster-indexed retrieval, keeps a self-evolving experience library (score-based admission, rate-limited extraction) and trains with step-level credit assignment; library updates by semantic analysis not gradients. Outperforms RL baselines on long-horizon multi-turn benchmarks; no numbers in abstract.",wang2026slearl,Prince Zizhuang Wang,SLEA-RL: Step-Level Experience Augmented Reinforcement Learning for Multi-Turn Agentic Training
2609.02265,2026-09-02,CAPTURE: preference drift vs memory poisoning,include,learned world model,belief state,uncertainty-triggered clarification + counterfactual audit of cited memories,"yes (poisoning success 11.5%, genuine-update acceptance 83.5%, adaptive attack 24.7%)",3;4;6;7,core: continuous-time POMDP belief tracker over latent user state distinguishing drift from poisoning,"Neural-ODE belief tracker over a latent user state, multi-timescale memory ledger, clarification triggered by uncertainty and counterfactual auditing of cited memories. 71.5% win rate vs 69.3% supervised baseline on 480 episodes; limits poisoning to 11.5% while accepting 83.5% of genuine updates; adaptive attacker raises success to 24.7%.",hossain2026capture,S M Asif Hossain,CAPTURE: Disentangling Preference Drift from Memory Poisoning in Personalized LLM Agents
2605.13740,2026-05-13,Pinductor: LLM-prior POMDP world models,include,learned world model,belief state,belief-based likelihood score of candidate POMDP,partial (belief-based likelihood; sample efficiency),3;8,core: LLM proposes and refines explicit POMDP models scored by belief likelihood,LLM proposes candidate POMDP models from a few observation-action trajectories and iteratively refines them to maximize a belief-based likelihood. Matches methods with privileged hidden-state access and surpasses tabular POMDP baselines in sample efficiency; scales with LLM capability.,six2026learning,Valentin Six,Learning POMDP World Models from Observations with Language-Model Priors
2603.14646,2026-03-15,DToM-Track: dynamic ToM as temporal memory,include,context (free-form trace),n/a,none,"yes (prior-belief recall, current-belief inference, belief-change detection)",4;7,core: evaluation of belief-trajectory tracking; recency/interference failure mode,"DToM-Track tests recall of pre-update beliefs, inference of current beliefs and detection of belief change in multi-turn conversations. Consistent asymmetry across families and scales: models infer current belief reliably but fail to retain prior belief states after updates.",nguyen2026dynamic,Thuy Ngoc Nguyen,Dynamic Theory of Mind as a Temporal Memory Problem: Evidence from Large Language Models
2603.13256,2026-02-24,REDEREF: training-free probabilistic multi-agent control,include,probabilistic memory,action/turn,judge feedback updates Thompson-sampling posteriors,no,6,supporting: belief-guided routing/delegation with memory-aware priors,"Thompson sampling over per-agent marginal-contribution posteriors selects delegates; a calibrated LLM/programmatic judge drives re-routing; memory-aware priors reduce cold start. Cuts tokens 28%, agent calls 17%, time-to-success 19% vs random recursive delegation on split-knowledge tasks.",hosseini2026trainingfree,Mohammad Parsa Hosseini,Training-Free Agentic AI: Probabilistic Control and Coordination in Multi-Agent LLM Systems
