arxiv_id,date,title_short,decision,who_maintains_belief,credited_object,revision_signal,belief_level_metrics,survey_section,role_in_survey,note,bibkey,first_author,title
2603.21250,2026-03-22,Graph of States,include,external memory,n/a,"symbolic check (causal graph constraints + state machine transitions)",no,3;4,"structured belief state for abductive reasoning; explicit failure taxonomy","Neuro-symbolic framework grounding multi-agent LLM reasoning in a structured belief state with a causal graph and state machine; targets Evidence Fabrication, Context Drift, Failed Backtracking, Early Stopping. Numbers not given in abstract.",luo2026graph,Yu Luo,Graph of States: Solving Abductive Tasks with Large Language Models
2607.27512,2026-07-29,CoevolveSim belief diffusion,exclude(multi-agent opinion dynamics among LLMs; not decision-agent state maintenance or credit assignment),n/a,n/a,n/a,n/a,n/a,n/a,"1,280 simulations of belief diffusion over LLM networks; specialist LLMs more than double consensus shift.",savcisens2026belief,Germans Savcisens,Belief Coevolution in a Social Network of Generalist and Specialist Large Language Models
2606.27806,2026-06-26,Hybrid-WM,include,learned world model,belief state,"consistency gate: disagreement between imagined state delta and parametric transition prediction",yes (hallucinated-state rate; propagation depth; long-horizon error growth),3;4;7,"core: parametric world model as external check on model-written state; defines belief-level error metrics","LLM planner keeps writing imagined state deltas but a small parametric transition model predicts validity/delta/risk/value and a consistency gate triggers revision only on disagreement; hallucinated-state rate falls 0.176 to 0.035 (GPT-4o-mini) and success 0.668 to 0.838 in simulator ablations.",song2026agent,Xinyuan Song,Agent vs. Parametric World Models: Hybrid Planning for Reliable Language Agents
2606.27483,2026-06-25,Internalizing the Future,include,model-written,step/trajectory,"foresight-conditioned RL calibrating plan-conditioned success estimates",partial (calibration of textual Q-value / foresight),3;5,"internal world-model prediction inside the policy; format-capability gap","Single autoregressive model articulates prospective state simulations plus a textual Q-value; three-stage pipeline (world-model mid-training, format-eliciting SFT, foresight-conditioned RL) on search and math tasks. Numbers not given in abstract.",zhang2026internalizing,Xuan Zhang,Internalizing the Future: A Unified Agentic Training Paradigm for World Model Planning
2604.16009,2026-04-17,MEDLEY-BENCH,include,context (free-form trace),n/a,"social disagreement / analyst summaries vs. private self-review",partial (Medley Metacognition Score; sensitivity to manipulated consensus),4;7,"benchmark for prompted belief revision under social pressure; sycophantic-revision failure mode","35 models on 130 instances comparing private self-review vs. analyst-conditioned social revision; sensitivity to manipulated consensus labels ranges from near zero to large shifts; v1.0 proof-of-concept with acknowledged reproducibility caveats.",abtahi2026medleybench,Farhad Abtahi,MEDLEY-BENCH: Benchmarking Behavioural Metacognition and Belief Revision Under Social Pressure in Large Language Models
2606.05890,2026-06-04,Uncertainty-scaffolding AMAs,exclude(moral-advisor dialogue strategies and simulated-user stance change; not agent state maintenance or credit assignment),n/a,n/a,n/a,n/a,n/a,n/a,"LLM-to-LLM ethical dialogues comparing three uncertainty-scaffolding strategies; narrative personas show more realistic belief revision.",greco2026staying,Salvatore Greco,Staying with the Uncertainty: Uncertainty-Scaffolding Strategies for Artificial Moral Advisors in LLM-to-LLM Simulated Conversations
2605.19447,2026-05-19,SERL selective hindsight distillation,include,context (free-form trace),action/turn,"per-step environment feedback (error messages, page changes, observations) reweighting update magnitude",no,5,"environment feedback as placement/magnitude signal for credit within a trajectory","Task reward fixes update direction while selected per-step feedback (five sources, two insertion granularities) sets where and how much to update; 90.0% ALFWorld and 80.1% WebShop success.",li2026what,Xiaozhe Li,What and When to Distill: Selective Hindsight Distillation for Multi-Turn Agents
2609.03834,2026-09-03,Semantic Bayesian World Models,include,external Bayesian filter,belief state,"Bayesian conditioning on observations; ontological axioms as priors",no,3;8,"vision paper: beliefs over knowledge graphs as agent world model; calibration and belief exchange protocols","Proposes SBWMs where RDF knowledge graphs carry belief annotations, axioms constrain priors, observations update by Bayesian conditioning and actions intervene; lists needed infrastructure (RDF 1.2 belief annotation, probabilistic entailment, semantic calibration layers). Position paper, no experiments.",soru2026semantic,Tommaso Soru,Semantic Bayesian World Models
2606.31916,2026-06-30,NCP-ToM belief induction,exclude(theory-of-mind: inducing beliefs in other agents via actions; not own-state maintenance or credit assignment),n/a,n/a,n/a,n/a,n/a,n/a,"NCP-ExploreToM: 600 tasks where models act to induce target belief states in characters; GPT-5 ~80% success.",slater2026theory,Ben Slater,Theory of Mind and Persuasion Beyond Conversation: Assessing the Capacity of LLMs to Induce Belief States via Planning and Action
2606.12780,2026-06-11,ProPlay,include,learned world model,step/trajectory,"post-episode graph refinement from environment feedback; reliability records per transition",partial (transition reliability estimates),3;5;6,"procedural world model with per-transition reliability updated from outcomes; preplay as belief-guided planning","Abstracts successful trajectories into a procedure graph whose transitions carry reliability-record embeddings; simulates procedural paths before each episode as soft guidance and refines the graph afterwards. Numbers not given in abstract.",ma2026proplay,Yijun Ma,ProPlay: Procedural World Models for Self-Evolving LLM Agents
2605.16205,2026-05-15,CAGE-2 compound agent design,include,external memory,n/a,"deterministic state-tracking layer with compressed history",no,3;4;7,"empirical case that programmatic state abstraction beats deliberation in an adversarial POMDP; deliberation cascade failure","3,475 CybORG CAGE-2 episodes across six models and twelve configurations with token-level cost accounting; programmatic state abstraction improves mean return by up to 76% over raw observations, while distributing deliberation tools across a hierarchy yields up to 3.4x worse return.",bogdanov2026context,Igor Bogdanov,"Context, Reasoning, and Hierarchy: A Cost-Performance Study of Compound LLM Agent Design in an Adversarial POMDP"
2601.10349,2026-01-15,SuS strategy-aware surprise,include,context (free-form trace),output,"surprise residual (pre-post prediction mismatch relative to strategy representation)",no,5,"surprise as intrinsic reward for LLM RL; tangential (math reasoning, no environment state)","Combines Strategy Stability and Strategy Surprise as learned-weighted intrinsic rewards for LLM math reasoning; +17.4% Pass@1 and +26.4% Pass@5 over baselines, each component ablation costs at least 10%.",kashirskiy2026sus,Mark Kashirskiy,SuS: Strategy-aware Surprise for Intrinsic Exploration
